,time,ticket,open,high,low,close,volume
14,2024-01-02,VPB,17.75,17.75,17.42,17.42,8801273
15,2024-01-03,VPB,17.42,17.65,17.24,17.65,8222597
16,2024-01-04,VPB,17.7,18.16,17.52,17.89,25327514
17,2024-01-05,VPB,17.89,17.98,17.65,17.75,9909348
18,2024-01-08,VPB,17.84,17.93,17.7,17.79,9016243
19,2024-01-09,VPB,17.79,17.89,17.65,17.7,6454429
20,2024-01-10,VPB,17.65,18.26,17.65,18.12,31574191
21,2024-01-11,VPB,18.3,18.35,18.07,18.16,17942117
22,2024-01-12,VPB,17.98,18.26,17.84,18.16,25024618
23,2024-01-15,VPB,18.3,18.3,17.89,17.89,11343070
24,2024-01-16,VPB,17.84,17.98,17.75,17.98,9595700
25,2024-01-17,VPB,17.98,18.07,17.79,17.84,11936551
26,2024-01-18,VPB,17.93,18.07,17.84,18.02,8449718
27,2024-01-19,VPB,18.07,18.26,18.07,18.21,16583259
28,2024-01-22,VPB,18.35,18.44,18.21,18.3,16138915
29,2024-01-23,VPB,18.35,18.39,18.16,18.21,10964135
30,2024-01-24,VPB,18.21,18.3,18.07,18.16,7409462
31,2024-01-25,VPB,18.16,18.21,18.07,18.16,5003106
32,2024-01-26,VPB,18.21,18.26,18.16,18.26,7548359
33,2024-01-29,VPB,18.26,18.26,18.07,18.26,4836722
34,2024-01-30,VPB,18.16,18.35,18.16,18.21,6807087
35,2024-01-31,VPB,18.16,18.21,17.7,17.93,20004150
36,2024-02-01,VPB,17.89,17.89,17.65,17.7,6508777
37,2024-02-02,VPB,17.7,17.75,17.38,17.38,16723095
38,2024-02-05,VPB,17.42,17.98,17.42,17.75,10733253
39,2024-02-06,VPB,17.84,17.93,17.75,17.84,5807746
40,2024-02-07,VPB,17.89,18.12,17.84,18.12,10725011
41,2024-02-15,VPB,18.12,18.63,18.12,18.3,19367162
42,2024-02-16,VPB,18.44,18.44,18.21,18.35,7327585
43,2024-02-19,VPB,18.35,18.44,18.16,18.3,11051556
44,2024-02-20,VPB,18.21,18.26,18.02,18.12,16247086
45,2024-02-21,VPB,18.12,18.49,18.12,18.26,17582404
46,2024-02-22,VPB,18.3,18.39,18.12,18.21,10544976
47,2024-02-23,VPB,18.21,18.72,18.02,18.02,42137667
48,2024-02-26,VPB,18.07,18.07,17.75,17.79,12772802
49,2024-02-27,VPB,17.89,18.02,17.75,17.89,17765091
50,2024-02-28,VPB,17.93,18.39,17.93,18.39,20963339
51,2024-02-29,VPB,18.58,18.67,18.16,18.39,17120600
52,2024-03-01,VPB,18.39,18.39,18.16,18.16,9762406
53,2024-03-04,VPB,18.3,18.3,18.12,18.12,12992804
54,2024-03-05,VPB,18.12,18.26,18.07,18.26,8097032
55,2024-03-06,VPB,18.3,18.35,17.84,17.93,11553242
56,2024-03-07,VPB,17.93,18.12,17.93,17.98,8018774
57,2024-03-08,VPB,17.98,18.02,17.52,17.56,29746622
58,2024-03-11,VPB,17.52,17.65,17.15,17.15,16582481
59,2024-03-12,VPB,17.15,17.33,17.1,17.15,10961688
60,2024-03-13,VPB,17.24,17.65,17.19,17.61,10989707
61,2024-03-14,VPB,17.65,17.65,17.24,17.38,9587076
62,2024-03-15,VPB,17.33,17.38,17.15,17.24,13583993
63,2024-03-18,VPB,17.24,17.29,16.59,16.82,23325846
64,2024-03-19,VPB,16.82,17.1,16.73,16.78,12353558
65,2024-03-20,VPB,16.82,17.24,16.82,17.24,11507911
66,2024-03-21,VPB,17.33,17.52,17.15,17.33,16886409
67,2024-03-22,VPB,17.47,17.56,17.24,17.38,14973190
68,2024-03-25,VPB,17.38,17.7,17.24,17.47,19755625
69,2024-03-26,VPB,17.47,18.12,17.47,18.12,37180162
70,2024-03-27,VPB,18.16,18.26,17.89,18.12,16225131
71,2024-03-28,VPB,18.16,18.3,18.02,18.16,14694999
72,2024-03-29,VPB,18.21,18.3,17.98,18.26,20545477
73,2024-04-01,VPB,18.12,18.26,17.98,18.16,11690407
74,2024-04-02,VPB,18.07,18.12,17.47,18.07,25843007
75,2024-04-03,VPB,17.89,18.02,17.79,17.89,16272775
76,2024-04-04,VPB,17.93,18.12,17.75,17.84,12595229
77,2024-04-05,VPB,17.65,17.98,17.56,17.98,11108070
78,2024-04-08,VPB,17.98,17.98,17.65,17.93,8431168
79,2024-04-09,VPB,17.89,17.93,17.7,17.89,9350848
80,2024-04-10,VPB,17.93,18.44,17.84,17.89,29217063
81,2024-04-11,VPB,17.89,18.12,17.84,17.89,9556606
82,2024-04-12,VPB,17.93,18.21,17.93,18.21,17726316
83,2024-04-15,VPB,18.12,18.3,17.01,17.19,28352760
84,2024-04-16,VPB,17.29,17.56,17.1,17.33,23555391
85,2024-04-17,VPB,17.52,17.61,16.78,16.78,13198801
86,2024-04-19,VPB,16.78,17.1,16.59,16.73,15360956
87,2024-04-22,VPB,17.01,17.19,16.87,16.92,8684890
88,2024-04-23,VPB,16.96,17.19,16.64,17.01,15638655
89,2024-04-24,VPB,17.1,17.33,17.01,17.19,13074719
90,2024-04-25,VPB,17.33,17.33,16.96,17.19,10619955
91,2024-04-26,VPB,17.01,17.19,16.92,17.15,8254986
92,2024-05-02,VPB,17.15,17.19,16.92,16.92,6334669
93,2024-05-03,VPB,17.01,17.1,16.96,17.01,10570491
94,2024-05-06,VPB,17.1,17.33,17.01,17.33,11302265
95,2024-05-07,VPB,17.33,17.42,17.15,17.38,7409922
96,2024-05-08,VPB,17.24,17.38,17.1,17.15,10947191
97,2024-05-09,VPB,17.24,17.42,17.1,17.33,9753071
98,2024-05-10,VPB,17.29,17.33,17.01,17.1,10358050
99,2024-05-13,VPB,17.15,17.47,17.05,17.38,16734961
100,2024-05-14,VPB,17.56,17.84,17.47,17.65,20936765
101,2024-05-15,VPB,17.79,17.79,17.61,17.61,10506314
102,2024-05-16,VPB,17.75,17.98,17.65,17.93,20753315
103,2024-05-17,VPB,17.93,17.98,17.79,17.93,12373943
104,2024-05-20,VPB,18.07,18.35,18.02,18.3,25257606
105,2024-05-21,VPB,18.3,18.35,18.12,18.3,24055008
106,2024-05-22,VPB,18.3,18.3,17.77,17.82,22579825
107,2024-05-23,VPB,17.82,18.01,17.67,18.01,9370104
108,2024-05-24,VPB,17.91,18.01,17.52,17.52,19568119
109,2024-05-27,VPB,17.67,17.67,17.47,17.52,7404200
110,2024-05-28,VPB,17.62,17.72,17.52,17.57,8409099
111,2024-05-29,VPB,17.62,17.62,17.47,17.57,8294344
112,2024-05-30,VPB,17.52,17.52,17.23,17.47,10463296
113,2024-05-31,VPB,17.47,17.57,17.43,17.52,5711042
114,2024-06-03,VPB,17.62,17.96,17.57,17.82,14016447
115,2024-06-04,VPB,17.91,17.91,17.67,17.72,9141976
116,2024-06-05,VPB,17.72,17.82,17.62,17.62,11806868
117,2024-06-06,VPB,17.67,17.77,17.47,17.62,16615623
118,2024-06-07,VPB,17.77,17.77,17.47,17.52,9959779
119,2024-06-10,VPB,17.57,17.72,17.52,17.57,10498933
120,2024-06-11,VPB,17.72,17.86,17.57,17.82,31084271
121,2024-06-12,VPB,17.82,18.89,17.67,18.89,69944435
122,2024-06-13,VPB,18.98,19.28,18.74,18.93,44268791
123,2024-06-14,VPB,18.93,18.98,18.2,18.2,35964913
124,2024-06-17,VPB,18.2,18.55,17.96,18.25,26723292
125,2024-06-18,VPB,18.3,18.59,18.11,18.11,35295361
126,2024-06-19,VPB,18.16,18.69,17.91,18.5,51398314
127,2024-06-20,VPB,18.64,19.28,18.5,19.18,66054206
128,2024-06-21,VPB,19.18,19.32,18.84,19.08,48980786
129,2024-06-24,VPB,18.93,19.08,18.35,18.35,45279444
130,2024-06-25,VPB,18.35,18.69,18.35,18.5,19536820
131,2024-06-26,VPB,18.5,18.59,18.06,18.5,27226795
132,2024-06-27,VPB,18.5,18.55,18.2,18.5,25084219
133,2024-06-28,VPB,18.45,18.79,18.11,18.16,41525596
134,2024-07-01,VPB,18.16,18.55,18.01,18.5,16522387
135,2024-07-02,VPB,18.5,18.69,18.3,18.45,16427090
136,2024-07-03,VPB,18.5,18.69,18.25,18.5,20131924
137,2024-07-04,VPB,18.64,18.93,18.55,18.55,26252856
138,2024-07-05,VPB,18.55,18.79,18.5,18.64,18433129
139,2024-07-08,VPB,18.69,18.79,18.5,18.55,16159777
140,2024-07-09,VPB,18.69,18.93,18.5,18.89,32015495
141,2024-07-10,VPB,18.98,19.03,18.69,18.69,15167598
142,2024-07-11,VPB,18.69,19.03,18.55,18.55,25230896
143,2024-07-12,VPB,18.59,18.69,18.45,18.5,16055981
144,2024-07-15,VPB,18.55,18.59,18.2,18.3,16137491
145,2024-07-16,VPB,18.4,18.59,18.3,18.5,17485321
146,2024-07-17,VPB,18.5,18.89,18.3,18.5,34914605
